time	V(u_c)	V(u_in)
0.000000000000000e+00	0.000000e+00	0.000000e+00
2.000000000000000e+00	0.000000e+00	0.000000e+00
2.000010000000000e+00	5.356091e-06	3.000000e-01
2.000030000000000e+00	2.678217e-05	9.000000e-01
2.000052491316374e+00	7.647451e-05	1.574739e+00
2.000074395652993e+00	1.509155e-04	2.231870e+00
2.000100000000000e+00	2.705093e-04	3.000000e+00
2.000102738618895e+00	2.851791e-04	3.000000e+00
2.012921822434867e+00	6.811708e-02	3.000000e+00
2.025740906250839e+00	1.344937e-01	3.000000e+00
2.038559990066811e+00	1.994149e-01	3.000000e+00
2.051379073882782e+00	2.628808e-01	3.000000e+00
2.064198157698754e+00	3.248914e-01	3.000000e+00
2.077017241514726e+00	3.854467e-01	3.000000e+00
2.089836325330698e+00	4.445466e-01	3.000000e+00
2.179575389280290e+00	8.236763e-01	3.000000e+00
2.359053517179474e+00	1.424845e+00	3.000000e+00
2.656055651664770e+00	2.085146e+00	3.000000e+00
2.941050884479594e+00	2.456292e+00	3.000000e+00
3.215044293453833e+00	2.670027e+00	3.000000e+00
3.465836171868508e+00	2.790767e+00	3.000000e+00
3.730465185599131e+00	2.870744e+00	3.000000e+00
3.990600606779409e+00	2.919470e+00	3.000000e+00
4.275166408189319e+00	2.952101e+00	3.000000e+00
4.631594702303314e+00	2.975228e+00	3.000000e+00
5.097925920003449e+00	2.989792e+00	3.000000e+00
5.734183935563760e+00	2.997188e+00	3.000000e+00
6.655129204591230e+00	2.999726e+00	3.000000e+00
8.069342766964326e+00	3.000032e+00	3.000000e+00
1.000000000000000e+01	-nan(ind)	-nan(ind)
